image_path,xmin,ymin,xmax,ymax,label
four_band.tif,595,666,613,685,Tree
four_band.tif,781,782,794,794,Tree
four_band.tif,977,588,990,603,Tree
four_band.tif,1103,624,1118,641,Tree
four_band.tif,1125,60,1147,79,Tree
four_band.tif,1024,153,1046,179,Tree
four_band.tif,687,106,716,133,Tree
four_band.tif,51,1,70,20,Tree
four_band.tif,45,161,66,179,Tree
four_band.tif,225,212,245,232,Tree
four_band.tif,505,150,542,193,Tree
four_band.tif,215,1,245,22,Tree
four_band.tif,229,28,251,45,Tree
four_band.tif,288,805,322,835,Tree
four_band.tif,1068,673,1086,691,Tree
four_band.tif,1129,16,1153,43,Tree
four_band.tif,1089,46,1114,70,Tree
four_band.tif,684,166,710,190,Tree
four_band.tif,675,201,700,226,Tree
four_band.tif,152,54,175,74,Tree
four_band.tif,283,1,322,35,Tree
four_band.tif,281,115,305,137,Tree
four_band.tif,48,96,74,124,Tree
four_band.tif,260,158,278,173,Tree
four_band.tif,799,467,827,494,Tree
four_band.tif,873,465,888,480,Tree
four_band.tif,870,424,893,446,Tree
four_band.tif,937,473,955,485,Tree
four_band.tif,927,474,940,487,Tree
four_band.tif,926,491,937,506,Tree
four_band.tif,907,474,920,486,Tree
four_band.tif,898,477,908,488,Tree
four_band.tif,879,504,895,523,Tree
four_band.tif,777,578,796,592,Tree
four_band.tif,803,586,818,605,Tree
four_band.tif,775,653,790,668,Tree
four_band.tif,775,669,794,687,Tree
four_band.tif,855,679,882,705,Tree
four_band.tif,949,553,966,570,Tree
four_band.tif,930,531,940,541,Tree
four_band.tif,910,556,930,578,Tree
four_band.tif,928,579,949,600,Tree
four_band.tif,894,613,917,633,Tree
four_band.tif,876,616,895,632,Tree
four_band.tif,854,449,869,467,Tree
four_band.tif,880,541,909,567,Tree
four_band.tif,1,36,25,61,Tree
four_band.tif,48,130,69,152,Tree
four_band.tif,786,125,807,141,Tree
four_band.tif,699,157,710,169,Tree
four_band.tif,773,149,815,208,Tree
four_band.tif,719,120,733,135,Tree
four_band.tif,819,50,839,77,Tree
